time,body
1543600808,"                        Blockchain Payroll Platform WorkChain.io has partnered with tokenization platform STASIS to enable euro-backed crypto paychecks for its European Union (EU) users with the EURS stablecoin.EURS becomes the second stablecoin selected for use on the WorkChain.io platform but the first one collateralized in euros. The platform also supports TrustToken's TrueUSD stablecoin, which is a fiat-collateralized stablecoin pegged to the U.S. dollar.Speaking with Bitcoin Magazine, WorkChain.io CEO Ryan Fyfe said the inclusion of EURS payment on the platform means ""anyone who gets paid in Euros can now choose to get their paycheck in cryptocurrency. And, being a stablecoin, it protects workers and employers from volatility. With the volatility of the cryptocurrency market in recent days, the need for stablecoins has become even more apparent.""WorkChain seems to be entirely different from a host of blockchain-based payroll services like Bitwage, the U.S.-based payroll and wage payment platform. Whereas Bitwage offers the typical payroll model with an option to convert monthly payments into bitcoin or ether, WorkChain disrupts the pay period, allowing workers to choose when they want to get paid and in which currency.""So, instead of waiting weeks or up to a month to get their paycheck, workers can choose when their payday comes  every day if they want. Its their paycheck on demand. This gives people more financial con..."
1543599790,"Intel has been awarded patent #10,142,098 , which pertains to a system they&#8217;ve designed which improves the energy efficiency of Bitcoin miners. While it takes a hardware engineer to fully understand what&#8217;s going on in their patent, relevant to the discussion is the following quote: [&#8230;] certain portions of the input message, state data, andThe post Intel Gains Patent for Energy-Efficient Bitcoin Mining Design appeared first on CCN"
1543599300,An account once associated with BTC creator Satoshi Nakamoto on non-profit global network P2P Foundation has posted a one-word status update and befriended another user
1543599124,"This is a&#160;paid-for submitted press release. CCN does not endorse, nor is responsible for any material included below and isn&#8217;t responsible for any damages or losses connected with any products or services mentioned in the press release. CCN urges readers to conduct their own research with due diligence into the company, product or service mentionedThe post Introducing WAY2BIT and the Bora Blockchain Ecosystem appeared first on CCN"
1543598407,"A court in Switzerland has ordered the closure of bitcoin mining startup Envion AG over concerns of poor corporate governance. The company raised $100 million in an initial coin offering (ICO) in January, but a succession of boardroom wrangles have led to a breakdown in its corporate structure, bringing operations to a halt. Also read:Canadian [&#8230;]The post Bitcoin Mining Startup Envion Ordered to Close by Swiss Court appeared first on Bitcoin News."
1543598100,"BANKEX, a Moscow-based fintech firm focusing on the construction of tokenization platforms, has partnered with Munich-based trading software company Devexperts, in order to build out its services platforms. The move can be seen as emblematic of growing interest in regulated tokenization in the industry."
1543598062,"                        Vitalik Buterin left academia four years ago to pursue a career in crypto. Now, the Ethereum founders contributions to the industry (and the computer science field at large) have earned him an honorary Ph.D.  in the same year he might have eventually completed his undergrad degree.In 2014, disenchanted with academics, Buterin accepted a Thiel Fellowship for his preliminary work on Ethereum and dropped out in his freshman year at the University of Waterloo to work on the smart contract platform.Today, the University of Basel's Faculty of Business and Economics has awarded him an honorary doctorate. The distinction was given at the Dies Academicus celebration, an annual event that commemorates the opening of the university.Dean of the Faculty of Business and Economics, University of Basel, Prof. Dr. Aleksander Berentsen calls Buterin's blockchain innovations ""game-changing,"" adding that he has ""blazed a trail for science and industry to follow and work together.""""Im honored to have received an honorary doctorate from the University of Basel the oldest university in Switzerland. Switzerland is well known for its innovative blockchain research, Buterin stated.Buterin first introduced his concept for the groundbreaking Ethereum in a white paper titled ""A Next-Generation Smart Contract and Decentralized Application Platform"" in 2013, wherein he proposed the development of a new platform with a more flexib..."
1543597949,"Bitcoin maintained slight positivity today as additional Fidelity crypto trading news hit the headlines. Coinbase Pro also added Zcash, AriseBank's CEO was indicted, and NYSE chairman Sprecher expressed bullish feelings on the future of crypto.The post Daily Crypto Roundup 11/29/2018 appeared first on Crypto Insider."
1543597240,"As Bitcoin continues to toss and turn day-to-day, failing to establish a solid footing at a single support level, the crypto market&#8217;s preeminent analysts have assumed the mantle of forecasting where prices could head next. While some commentators are often lambasted for their dubious and baseless predictions,there remain voices of reason, who analyze crypto with...The post Prominent Crypto Analyst: Bitcoin over $4,400 May Catalyze 10% Rally appeared first on NewsBTC."
1543597216,"The cryptocurrency market&#8217;s wild November roller coaster ride has resulted in multiple changes in the top crypto roster. The latest upset? Stellar Lumens (XLM) has unseated Bitcoin Cash as the #4 cryptocurrency by market cap. StellarOvertakes Bitcoin Cash While beleaguered Bitcoin Cash and Bitcoin SV continue to duke it out behind the scenes, Stellar Lumens...The post Stellar Lumens (XLM) Edges Past Bitcoin Cash (BCH) into #4 Spot appeared first on Live Bitcoin News."
1543597206,"Bitcoinist once again caught up with the one and only Max Keiser, Wall Street veteran and host of the Keiser Report. He explains why he isn&#8217;t fazed about the Bitcoin price drop, why he pays no attention to ICOs, and why Bitcoin will be around longer than humans. &#8216;Bitcoin is the monetary black hole&#8217; Bitcoinist: Since we last spoke in April, Bitcoin has taken quite a tumble in USD price and has had a prettyRead MoreThe post Max Keiser Interview: Bitcoin Will &#8216;Gobble Up All Fiat&#8217; and Rise Over $100K appeared first on Bitcoinist.com."
1543597203,"Cryptoindex is making waves by creating a platform that is on par, or even better than the standard indices that are currently available for conventional financial assets. We asked VJ Angelo, the company&#8217;s CEO to get a clear picture of their vision and what they are attempting to achieve by attaining that vision. Q: Cryptoindex...The post VJ Angelo, CEO of Cryptoindex Talks About Their Mission appeared first on NewsBTC."
1543597198,"Now in its 10th year of existence, Bitcoin&#8217;s journey has been quite the roller-coaster ride. It has gone through Five mind-boggling price slumps decreasing 80 percent or more, it has become the most well-known digital currency in the world, and it continues to dominate the crypto market despite problems with scaling. Paul Donovan, however, isexpecting [&#8230;]UBS Chief Global Economist Isnt Buying the Bitcoin Argument was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News."
1543596496,"On November 30, Zcash (ZEC), a privacy-focused cryptocurrency, was integrated into Coinbase Pro, a U.S.-based regulated digital asset exchange operated by Coinbase. The exchange told investors that throughout the foreseeable future, withdrawals of Zcash shielded transactions, private or anonymous transactions on the Zcash network, will not be supported. Coinbase said: &#8220;Initially, we will support depositsThe post Coinbase &#8216;Pump&#8217; Fails to Boost Zcash in 17% Drop from Daily Peak appeared first on CCN"
1543594525,"The P2PFoundation account of Satoshi Nakamoto, the pseudonymous creator of bitcoin, the flagship cryptocurrency, has recently posted for the first time in over four years, after being hacked and having its details supposedly sold on the dark web."
1543594472,"The cryptocurrency market has returned to bearish movements today as Bitcoin returns back below $4000. The best performer in the top twenty cryptocurrencies excluding Tether has been Zcash. Zcash is also the best performer over the past seven days after three consecutive days of large appreciation this week. During the recent bearish market conditions, Zcash [&#8230;]Zcash [ZEC] Best Performer Over 7 Days, Boosted by Coinbase Listing Announcement was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News."
1543594067,"Several high profile tokens have taken a deep plunge in value during this years crypto bear market, causing investors to lose money and exposing many projects for their true value. During this time, many exchanges have taken it upon themselves to weed out the weakest tokens on their platform. As cited in a previous article, [&#8230;]The post Okex to Listed ICO: Increase Trading Volume or Get Delisted appeared first on CryptoPotato."
1543593652,"VanEck, SolidX and Cboe met with SEC staff on Monday to demonstrate how the bitcoin market is ready for an ETF."
1543593618,"Regulators in Texas have once again issued a cease and desist order against a promoter of an allegedly fraudulent cryptocurrency investment scheme. Meanwhile, the indicted party insists that the accusations are false; citing the many beneficiaries of the virtual currency investment vehicle. Alleged Fraudulent Cryptocurrency Investment Scheme The Texas State Securities Board issued a press...The post Cryptocurrency Scam: Texas Securities Board Issues Another Cease and Desist Order appeared first on Live Bitcoin News."
1543593256,"The two addresses publicized by the US Treasury this week as belonging to associates of those behind the SamSam Ransomware attack, a lucrative operation that ran for years and affected computer systems the world over, have received a few transactions since. The names of the banned persons are Ali Khorashadizadeh and Mohammad Ghorbaniyan. The USThe post People Are Still Sending Funds Iranian Bitcoin Addresses Banned by the US Government appeared first on CCN"
1543593231,The advert takes a jab at Wall Street and fellow exchange operator Coinbase
1543592700,"Privacy coin Verge (XVG) was recently listed on the worlds 3rd largest cryptocurrency exchange, Bithumb. Followingthe listing on this South Korean exchange, XVG rose up 67%, before a correction down 27%."
1543592343,"Dogecoin rose above a key level around $0.00228 yesterday. This level has played an important role for Dogecoin acting as support from June to August of this year and preceded a price spike in early September. During the extremely bearish movements of last week, Dogecoin dropped below this level. With an unexpected bout of bullish [&#8230;]Dogecoin [Doge] Fails to Rise Above Key Resistance was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News."
1543591857,"Bitcoin and Ethereum are undoubtedly among the most widely discussed cryptocurrencies, especially after the unparalleled bull run at the end of 2017 launched prices to unseen heights. While they are among the leading and most popular cryptocurrencies, the technology backing each one of them is fairly remote. Lets have a look at the most important differences between Bitcoin and Ethereum  their technology, mining, charts, and, of course, some alternatives. Bitcoin Put simply, Bitcoin representsRead MoreThe post Bitcoin vs Ethereum: Differences, Advantages and Disadvantages  Which is Better? appeared first on Bitcoinist.com."
1543591818,The U.S. Securities and Exchange Commission has hit two celebrities with record fines for shilling initial coin offerings (ICOs). Boxer Floyd Mayweather Jr. and music producer DJ Khaled were taken to task for failing to disclose payments they received for touting the projects. The case marks the first time the SEC has taken against celebs [&#8230;]The post SEC Hits Floyd Mayweather and DJ Khaled With Fines for Unlawful ICO Promotion appeared first on Bitcoin News.
1543591157,"The cryptocurrency has returned to bearish movements today as market leader Bitcoin drops back below the $4000 level. This downturn comes after an unexpected bout of bullish movement taking place across the market. Tron, the smart contract platform which is a key competitor to Ethereum, outperformed during this increase. Several factors may have contributed to [&#8230;]Tron [TRX] Price Reverses After Outperforming was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News."
1543590808,"Published on CoinnounceThe credit scoring system is nothing new. For years weve been told to watch how we spend, to spend only what we have, and to monitor our credit card usage. We know that debtwhether school loans, car loans, or medical debtcan be used against us. With the current credit scoring system, this can mean problems [&#8230;]The post Can Blockchain Replace The Current Credit Scoring System? appeared first on Coinnounce."
1543590600,"Bitcoin today briefly dipped back down below $4,000 as major cryptos are seeing losses of within a 4 and 10 percent range"
1543590016,"Researchers at cybersecurity firm Check Point say a relatively new form of crypto mining malware, dubbed KingMiner, is evolving."
1543589827,"&#8220;I am not Dorian Nakamoto,&#8221; was the last word in an account known to have belonged to Satoshi Nakamoto, bitcoin&#8217;s inventor. That&#8217;s before today when the same account said, in...The post Did Satoshi Nakamoto Make a Subtle Comment in Appreciation of Immigrants? appeared first on Trustnodes."
1543589740,"On November 28, the price of Bitcoin (BTC) spiked from $3,771 to $4,355, by more than 15.4 percent. In less than 48 hours, the dominant cryptocurrency has fallen back down to $3,861, dropping below the $4,000 mark. Bitcoin recorded a 7-month high daily spike in value on Wednesday, leading traders to be optimistic about theThe post Bitcoin Price Falls Under $4,000: Was Immediate Pullback Expected After Big Spike? appeared first on CCN"
1543589710,The crypto mining firm will publish a daily reference price at 10:00 am Hong Kong time
1543589700,"Cryptocurrency legislation has been approved in Belarus, with all necessary documents signed and published"
1543589335,"On Friday (30 November 2018), Chinese crypto mining giant Bitmain launched a new cryptocurrency index."
1543589090,"The vast majority of cryptocurrencies are recording losses today as Bitcoin returns back below $4000. The last few days of price action recorded unexpected bullish movements, but Ripple&#8217;s XRP began declining yesterday while most cryptocurrencies were still rising. XRP met resistance at $0.4 during the bullish spike and had since begun to turn downward. The [&#8230;]Ripples XRP Reverses After Meeting Key Resistance was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News."
1543589010,"This is a&#160;paid-for submitted press release. CCN does not endorse, nor is responsible for any material included below and isn&#8217;t responsible for any damages or losses connected with any products or services mentioned in the press release. CCN urges readers to conduct their own research with due diligence into the company, product or service mentionedThe post THEKEY Has Launched Its Mainnet Ahead of Schedule appeared first on CCN"
1543588707,"Another big firm is looking to bring confidence to the cryptocurrency marketplace&#8230; Already today, weve reported the news that Binance is introducing a gold label badge for cryptocurrency and blockchain projects. The idea is to offset the negativity and distrust thats prevalent amongst some investors, and to give them some extra assurances. Now comes the [&#8230;]The post Mining giant Bitmain has announced a brand new cryptocurrency index appeared first on CryptoNewsReview."
1543588591,"This is a&#160;paid-for submitted press release. CCN does not endorse, nor is responsible for any material included below and isn&#8217;t responsible for any damages or losses connected with any products or services mentioned in the press release. CCN urges readers to conduct their own research with due diligence into the company, product or service mentionedThe post TokenPlus Launches Leading Arbitrage Trading Platform appeared first on CCN"
1543588141,"Disappointing market conditions are not deterring Dash as the coin is moving steadily in the direction of increased adoption. Recently, Dashpartnered with ePaymints, a global merchant account to extend its payment services to a broader user base. The coin has also beenlisted on the 3XBIT exchange where it will be open for trading in Ethereum, [&#8230;]Dash Charges Ahead With ePaymints Partnership and 3XBIT Exchange Listing was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News."
1543587288,"CoinSpeakerDan Larimer&#8217;s New Project &#8220;MonerEOS&#8221; Fails To Sway Crypto InvestorsLarimer says that the new MonerEOS ""hypothetical token"" would be ""immutable, non-programmable, and limited to a currency role.Dan Larimer&#8217;s New Project &#8220;MonerEOS&#8221; Fails To Sway Crypto Investors"
1543587285,"Bitcoin has returned below the $4000 mark on most exchanges after bullish movements which brought the price to an intraday high around $4400 yesterday. Yesterday&#8217;s daily candle formed a Doji. A Doji is a candle where the open is around the same point as the close and typically shows indecision from traders. Traders were likely [&#8230;]A Return to Bearish Price Movements for Bitcoin [BTC] was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News."
